,club_name,player_name,Age,Position,Pos,Market value,club_involved_name,Fee,transfer_movement,fee_cleaned
0,Bayern Munich,Konrad LaimerK. Laimer,26,Central Midfield,CM,€28.00m,RB Leipzig,free transfer,In,
1,Bayern Munich,Raphaël GuerreiroR. Guerreiro,29,Left-Back,LB,€20.00m,Bor. Dortmund,free transfer,In,
2,Bayern Munich,Tarek BuchmannT. Buchmann,18,Centre-Back,CB,-,FC Bayern U19,-,In,
3,Bayern Munich,Alexander NübelA. Nübel,26,Goalkeeper,GK,€8.00m,Monaco,"End of loan Jun 30, 2023",In,
4,Bayern Munich,Malik TillmanM. Tillman,21,Attacking Midfield,AM,€5.00m,Rangers,"End of loan Jun 30, 2023",In,
5,Bayern Munich,Gabriel VidovicG. Vidovic,19,Left Winger,LW,€2.50m,Vitesse,"End of loan Jun 30, 2023",In,
6,Bayern Munich,Bright Arrey-MbiB. Arrey-Mbi,20,Centre-Back,CB,€800k,Hannover 96,"End of loan Jun 30, 2023",In,
7,Bayern Munich,Marcel SabitzerM. Sabitzer,29,Central Midfield,CM,€20.00m,Man Utd,"End of loan Jun 30, 2023",In,
0,Bayern Munich,Bright Arrey-MbiB. Arrey-Mbi,20,Centre-Back,CB,€800k,Hannover 96,free transfer,Out,
1,Bayern Munich,Daley BlindD. Blind,33,Left-Back,LB,€3.00m,Without Club,-,Out,
2,Bayern Munich,João CanceloJ. Cancelo,29,Right-Back,RB,€50.00m,Man City,"End of loan Jun 30, 2023",Out,
0,Borussia Dortmund,Felix NmechaF. Nmecha,22,Attacking Midfield,AM,€15.00m,VfL Wolfsburg,€30.00m,In,€30.00m
1,Borussia Dortmund,Ramy BensebainiR. Bensebaini,28,Left-Back,LB,€20.00m,Bor. M'gladbach,free transfer,In,
2,Borussia Dortmund,Ole PohlmannO. Pohlmann,22,Central Midfield,CM,€400k,B. Dortmund II,-,In,
3,Borussia Dortmund,Ansgar KnauffA. Knauff,21,Right Winger,RW,€8.00m,E. Frankfurt,"End of loan Jun 30, 2023",In,
4,Borussia Dortmund,Thorgan HazardT. Hazard,30,Left Winger,LW,€7.00m,PSV Eindhoven,"End of loan Jun 30, 2023",In,
0,Borussia Dortmund,Jude BellinghamJ. Bellingham,20,Central Midfield,CM,€120.00m,Real Madrid,€103.00m,Out,€103.00m
1,Borussia Dortmund,Ansgar KnauffA. Knauff,21,Right Winger,RW,€8.00m,E. Frankfurt,€5.00m,Out,€5.00m
2,Borussia Dortmund,Tom RotheTom Rothe,18,Left-Back,LB,€3.50m,Holstein Kiel,Loan fee: €350k,Out, €350k
3,Borussia Dortmund,Felix PasslackF. Passlack,25,Right-Back,RB,€1.50m,VfL Bochum,free transfer,Out,
4,Borussia Dortmund,Luca UnbehaunL. Unbehaun,22,Goalkeeper,GK,€650k,SC Verl,free transfer,Out,
5,Borussia Dortmund,Mahmoud DahoudM. Dahoud,27,Central Midfield,CM,€12.00m,Brighton,free transfer,Out,
6,Borussia Dortmund,Raphaël GuerreiroR. Guerreiro,29,Left-Back,LB,€20.00m,Bayern Munich,free transfer,Out,
7,Borussia Dortmund,Anthony ModesteA. Modeste,35,Centre-Forward,CF,€700k,Without Club,-,Out,
0,RB Leipzig,Christoph BaumgartnerC. Baumgartner,23,Attacking Midfield,AM,€24.00m,TSG Hoffenheim,€24.00m,In,€24.00m
1,RB Leipzig,Benjamin SeskoB. Sesko,20,Centre-Forward,CF,€24.00m,RB Salzburg,€24.00m,In,€24.00m
2,RB Leipzig,Nicolas SeiwaldN. Seiwald,22,Central Midfield,CM,€20.00m,RB Salzburg,€20.00m,In,€20.00m
