,club_name,player_name,Age,Position,Pos,Market value,club_involved_name,Fee,transfer_movement,fee_cleaned
0,Ajax Amsterdam,Benjamin TahirovicB. Tahirovic,20,Central Midfield,CM,€1.50m,AS Roma,€7.50m,In,€7.50m
1,Ajax Amsterdam,Branco van den BoomenB. van den Boomen,27,Central Midfield,CM,€12.00m,Toulouse,free transfer,In,
2,Ajax Amsterdam,Amourricho van Axel DongenA. van Axel Dongen,18,Left Winger,LW,€500k,Ajax U21,-,In,
3,Ajax Amsterdam,Mohamed DaramyM. Daramy,21,Left Winger,LW,€6.00m,FC Copenhagen,"End of loan Jun 30, 2023",In,
4,Ajax Amsterdam,Kik PierieK. Pierie,22,Centre-Back,CB,€900k,Excelsior,"End of loan Jun 30, 2023",In,
5,Ajax Amsterdam,Jay GorterJ. Gorter,23,Goalkeeper,GK,€1.00m,Aberdeen FC,"End of loan Jun 30, 2023",In,
0,Ajax Amsterdam,Youri RegeerY. Regeer,19,Central Midfield,CM,€1.30m,Twente FC,€900k,Out,€900k
1,Ajax Amsterdam,Florian GrillitschF. Grillitsch,27,Defensive Midfield,DM,€6.50m,TSG Hoffenheim,free transfer,Out,
2,Ajax Amsterdam,Youri BaasY. Baas,20,Left-Back,LB,€900k,NEC Nijmegen,loan transfer,Out,
3,Ajax Amsterdam,Naci ÜnüvarN. Ünüvar,20,Left Winger,LW,€2.50m,Twente FC,loan transfer,Out,
4,Ajax Amsterdam,Maarten StekelenburgM. Stekelenburg,40,Goalkeeper,GK,-,Retired,-,Out,
5,Ajax Amsterdam,Lorenzo LuccaL. Lucca,22,Centre-Forward,CF,€5.00m,Pisa,"End of loan Jun 30, 2023",Out,
0,Almere City FC,Bradly van HoevenB. van Hoeven,23,Left Winger,LW,€300k,TOP Oss,"End of loan Jun 30, 2023",In,
1,Almere City FC,Tim ReceveurT. Receveur,31,Defensive Midfield,DM,€200k,FC Dordrecht,"End of loan Jun 30, 2023",In,
