,club_name,player_name,Age,Position,Pos,Market value,club_involved_name,Fee,transfer_movement,fee_cleaned
0,SL Benfica,Orkun KökcüO. Kökcü,22,Central Midfield,CM,€35.00m,Feyenoord,€25.00m,In,€25.00m
1,SL Benfica,Ángel Di MaríaÁ. Di María,35,Right Winger,RW,€8.00m,Juventus,free transfer,In,
2,SL Benfica,Haris SeferovicH. Seferovic,31,Centre-Forward,CF,€4.00m,Celta de Vigo,"End of loan Jun 30, 2023",In,
3,SL Benfica,João VictorJoão Victor,24,Centre-Back,CB,€7.00m,FC Nantes,"End of loan Jun 30, 2023",In,
4,SL Benfica,Paulo BernardoP. Bernardo,21,Central Midfield,CM,€3.00m,Paços Ferreira,"End of loan Jun 30, 2023",In,
5,SL Benfica,Tiago DantasT. Dantas,22,Central Midfield,CM,€3.00m,PAOK Salonika,"End of loan Jun 30, 2023",In,
6,SL Benfica,Henrique AraújoH. Araújo,21,Centre-Forward,CF,€4.50m,Watford,"End of loan Jun 30, 2023",In,
7,SL Benfica,Soualiho MeïtéS. Meïté,29,Central Midfield,CM,€3.50m,Cremonese,"End of loan Jun 30, 2023",In,
8,SL Benfica,Julian WeiglJ. Weigl,27,Defensive Midfield,DM,€10.00m,Bor. M'gladbach,"End of loan Jun 30, 2023",In,
9,SL Benfica,Tomás AraújoT. Araújo,21,Centre-Back,CB,€5.00m,Gil Vicente,"End of loan Jun 30, 2023",In,
10,SL Benfica,Tiago GouveiaT. Gouveia,22,Right Winger,RW,€3.50m,Estoril Praia,"End of loan Jun 30, 2023",In,
11,SL Benfica,Sandro CruzS. Cruz,22,Left-Back,LB,€400k,Chaves,"End of loan Jun 30, 2023",In,
0,SL Benfica,Julian WeiglJ. Weigl,27,Defensive Midfield,DM,€10.00m,Bor. M'gladbach,€7.18m,Out,€7.18m
1,SL Benfica,GilbertoGilberto,30,Right-Back,RB,€4.00m,EC Bahia,€2.50m,Out,€2.50m
2,SL Benfica,Alejandro GrimaldoA. Grimaldo,27,Left-Back,LB,€25.00m,B. Leverkusen,free transfer,Out,
3,SL Benfica,Haris SeferovicH. Seferovic,31,Centre-Forward,CF,€4.00m,Al-Wasl,?,Out,
4,SL Benfica,Sandro CruzS. Cruz,22,Left-Back,LB,€400k,Chaves,?,Out,
5,SL Benfica,Gonçalo GuedesG. Guedes,26,Left Winger,LW,€23.00m,Wolves,"End of loan Jun 30, 2023",Out,
