,club_name,player_name,Age,Position,Pos,Market value,club_involved_name,Fee,transfer_movement,fee_cleaned
0,Paris Saint-Germain,Manuel UgarteM. Ugarte,22,Defensive Midfield,DM,€50.00m,Sporting CP,€60.00m,In,€60.00m
1,Paris Saint-Germain,Hugo EkitikéH. Ekitiké,21,Centre-Forward,CF,€20.00m,Stade Reims,€28.50m,In,€28.50m
2,Paris Saint-Germain,Marco AsensioM. Asensio,27,Right Winger,RW,€25.00m,Real Madrid,free transfer,In,
3,Paris Saint-Germain,Milan SkriniarM. Skriniar,28,Centre-Back,CB,€50.00m,Inter,free transfer,In,
4,Paris Saint-Germain,Louis MouquetL. Mouquet,18,Goalkeeper,GK,-,Paris SG U19,-,In,
5,Paris Saint-Germain,Vimoj Muntu Wa MunguV. Muntu Wa Mungu,18,Left-Back,LB,-,Paris SG U19,-,In,
6,Paris Saint-Germain,Nehemiah FernandezN. Fernandez,18,Centre-Back,CB,€250k,Paris SG U19,-,In,
7,Paris Saint-Germain,Zoumana BagbemaZ. Bagbema,19,Defensive Midfield,DM,-,Paris SG U19,-,In,
8,Paris Saint-Germain,Mathyas RandriamamyM. Randriamamy,20,Goalkeeper,GK,€150k,FC Sète 34,"End of loan Jun 30, 2023",In,
9,Paris Saint-Germain,Keylor NavasK. Navas,36,Goalkeeper,GK,€4.00m,Nottm Forest,"End of loan Jun 30, 2023",In,
10,Paris Saint-Germain,Colin DagbaC. Dagba,24,Right-Back,RB,€4.50m,R. Strasbourg,"End of loan Jun 30, 2023",In,
11,Paris Saint-Germain,Mauro IcardiM. Icardi,30,Centre-Forward,CF,€19.00m,Galatasaray,"End of loan Jun 30, 2023",In,
12,Paris Saint-Germain,Djeidi GassamaD. Gassama,19,Left Winger,LW,€650k,KAS Eupen,"End of loan Jun 30, 2023",In,
13,Paris Saint-Germain,Julian DraxlerJ. Draxler,29,Left Winger,LW,€6.00m,Benfica,"End of loan Jun 30, 2023",In,
14,Paris Saint-Germain,Layvin KurzawaL. Kurzawa,30,Left-Back,LB,€3.00m,Fulham,"End of loan Jun 30, 2023",In,
15,Paris Saint-Germain,Abdou DialloA. Diallo,27,Centre-Back,CB,€10.00m,RB Leipzig,"End of loan Jun 30, 2023",In,
16,Paris Saint-Germain,Anfane AhamadaA. Ahamada,21,Defensive Midfield,DM,€100k,FC Martigues,"End of loan Jun 30, 2023",In,
17,Paris Saint-Germain,Leandro ParedesL. Paredes,29,Defensive Midfield,DM,€12.00m,Juventus,"End of loan Jun 30, 2023",In,
18,Paris Saint-Germain,Edouard MichutE. Michut,20,Central Midfield,CM,€2.50m,Sunderland,"End of loan Jun 30, 2023",In,
19,Paris Saint-Germain,Kenny NageraK. Nagera,21,Centre-Forward,CF,€300k,Lorient B,"End of loan Jun 30, 2023",In,
20,Paris Saint-Germain,Junior Dina EbimbeJ. Dina Ebimbe,22,Right Midfield,RM,€10.00m,E. Frankfurt,"End of loan Jun 30, 2023",In,
21,Paris Saint-Germain,Georginio WijnaldumG. Wijnaldum,32,Central Midfield,CM,€8.00m,AS Roma,"End of loan Jun 30, 2023",In,
0,Paris Saint-Germain,Junior Dina EbimbeJ. Dina Ebimbe,22,Right Midfield,RM,€10.00m,E. Frankfurt,€6.50m,Out,€6.50m
1,Paris Saint-Germain,Lionel MessiL. Messi,36,Right Winger,RW,€35.00m,Miami,free transfer,Out,
2,Paris Saint-Germain,Sergio RamosS. Ramos,37,Centre-Back,CB,€4.50m,Without Club,-,Out,
3,Paris Saint-Germain,Anfane AhamadaA. Ahamada,21,Defensive Midfield,DM,€100k,Without Club,-,Out,
