,club_name,player_name,Age,Position,Pos,Market value,club_involved_name,Fee,transfer_movement,fee_cleaned
0,Zenit St. Petersburg,Gustavo MantuanG. Mantuan,22,Left Winger,LW,€3.00m,Corinthians,€2.00m,In,€2.00m
1,Zenit St. Petersburg,Aleksandr KovalenkoA. Kovalenko,19,Central Midfield,CM,€2.80m,Sochi,€2.00m,In,€2.00m
2,Zenit St. Petersburg,Nikita GoyloN. Goylo,24,Goalkeeper,GK,€600k,Pari NN,€540k,In,€540k
3,Zenit St. Petersburg,Du QueirozDu Queiroz,23,Defensive Midfield,DM,€6.00m,Corinthians,free transfer,In,
4,Zenit St. Petersburg,Daniil ShamkinD. Shamkin,21,Attacking Midfield,AM,€450k,KamAZ,"End of loan Jun 30, 2023",In,
0,Zenit St. Petersburg,Daler KuzyaevD. Kuzyaev,30,Central Midfield,CM,€10.00m,Without Club,-,Out,
1,Zenit St. Petersburg,Gustavo MantuanG. Mantuan,22,Left Winger,LW,€3.00m,Corinthians,"End of loan Jun 30, 2023",Out,
0,CSKA Moscow,MoisésMoisés,28,Left-Back,LB,€5.00m,Internacional,€2.30m,In,€2.30m
1,CSKA Moscow,Matvey LukinM. Lukin,19,Centre-Back,CB,€250k,CSKA Moscow II,-,In,
2,CSKA Moscow,Lassana N'DiayeL. N'Diaye,22,Centre-Forward,CF,€400k,Arda Kardzhali,"End of loan Jun 30, 2023",In,
3,CSKA Moscow,Chidera EjukeC. Ejuke,25,Left Winger,LW,€5.50m,Hertha BSC,"End of loan Jun 30, 2023",In,
4,CSKA Moscow,Arnór SigurdssonA. Sigurdsson,24,Attacking Midfield,AM,€4.50m,Norrköping,"End of loan Jun 30, 2023",In,
5,CSKA Moscow,Vadim KonyukhovV. Konyukhov,21,Left-Back,LB,€200k,Ufa,"End of loan Jun 30, 2023",In,
6,CSKA Moscow,Ilya ShkurinI. Shkurin,23,Centre-Forward,CF,€600k,M. Petah Tikva,"End of loan Jun 30, 2023",In,
7,CSKA Moscow,Vladislav YakovlevV. Yakovlev,21,Centre-Forward,CF,€500k,Pari NN,"End of loan Jun 30, 2023",In,
8,CSKA Moscow,Kristijan BistrovicK. Bistrovic,25,Central Midfield,CM,€2.50m,Fortuna Sittard,"End of loan Jun 30, 2023",In,
9,CSKA Moscow,Adolfo GaichA. Gaich,24,Centre-Forward,CF,€1.80m,Hellas Verona,"End of loan Jun 30, 2023",In,
10,CSKA Moscow,Danila BokovD. Bokov,20,Goalkeeper,GK,€300k,Salyut Belgorod,"End of loan Jun 30, 2023",In,
0,CSKA Moscow,Georgiy ShchennikovG. Shchennikov,32,Left-Back,LB,€400k,Without Club,-,Out,
1,CSKA Moscow,Arnór SigurdssonA. Sigurdsson,24,Attacking Midfield,AM,€4.50m,Blackburn,loan transfer,Out,
2,CSKA Moscow,Vadim KonyukhovV. Konyukhov,21,Left-Back,LB,€200k,Akron Togliatti,loan transfer,Out,
3,CSKA Moscow,Ilya ShkurinI. Shkurin,23,Centre-Forward,CF,€600k,Stal Mielec,loan transfer,Out,
4,CSKA Moscow,MoisésMoisés,28,Left-Back,LB,€5.00m,Internacional,"End of loan Jun 30, 2023",Out,
0,Spartak Moscow,Maximiliano CaufriezM. Caufriez,26,Centre-Back,CB,€2.50m,Clermont Foot,"End of loan Jun 30, 2023",In,
1,Spartak Moscow,Vitaliy ShitovV. Shitov,20,Right Winger,RW,€225k,Zvezda S-Pb,"End of loan Jun 30, 2023",In,
2,Spartak Moscow,Ilya SvinovI. Svinov,22,Goalkeeper,GK,€800k,Fakel Voronezh,"End of loan Jun 30, 2023",In,
3,Spartak Moscow,Alex KralAlex Kral,25,Defensive Midfield,DM,€7.00m,FC Schalke 04,"End of loan Jun 30, 2023",In,
4,Spartak Moscow,Nikolay TolstopyatovN. Tolstopyatov,21,Centre-Back,CB,€350k,KamAZ,"End of loan Jun 30, 2023",In,
5,Spartak Moscow,Konstantin ShiltsovK. Shiltsov,21,Attacking Midfield,AM,€400k,Pari NN,"End of loan Jun 30, 2023",In,
6,Spartak Moscow,Stepan OganesyanS. Oganesyan,21,Right Winger,RW,€500k,Orenburg,"End of loan Jun 30, 2023",In,
7,Spartak Moscow,Ilya GolosovI. Golosov,21,Left-Back,LB,€75k,Kuban,"End of loan Jun 30, 2023",In,
8,Spartak Moscow,Nikita BakalyukN. Bakalyuk,22,Central Midfield,CM,€300k,Arsenal Tula,"End of loan Jun 30, 2023",In,
9,Spartak Moscow,Maksim LaykinM. Laykin,20,Defensive Midfield,DM,€500k,Neftekhimik,"End of loan Jun 30, 2023",In,
0,Spartak Moscow,Maximiliano CaufriezM. Caufriez,26,Centre-Back,CB,€2.50m,Clermont Foot,€3.50m,Out,€3.50m
1,Spartak Moscow,Stepan OganesyanS. Oganesyan,21,Right Winger,RW,€500k,Orenburg,€500k,Out,€500k
2,Spartak Moscow,Maciej RybusM. Rybus,33,Left-Back,LB,€300k,Rubin Kazan,free transfer,Out,
3,Spartak Moscow,Alex KralAlex Kral,25,Defensive Midfield,DM,€7.00m,Union Berlin,loan transfer,Out,
4,Spartak Moscow,Anton ShitovA. Shitov,23,Goalkeeper,GK,€100k,Without Club,-,Out,
5,Spartak Moscow,Nikolay TolstopyatovN. Tolstopyatov,21,Centre-Back,CB,€350k,Pari NN,loan transfer,Out,
6,Spartak Moscow,Vitaliy ShitovV. Shitov,20,Right Winger,RW,€225k,Tyumen,loan transfer,Out,
0,FK Rostov,Aleksey IonovA. Ionov,34,Right Winger,RW,€1.20m,Krasnodar,free transfer,In,
1,FK Rostov,Roman AkbashevR. Akbashev,31,Attacking Midfield,AM,€800k,Fakel Voronezh,free transfer,In,
2,FK Rostov,Evgeniy ChernovE. Chernov,30,Left-Back,LB,€1.00m,Krasnodar,free transfer,In,
3,FK Rostov,Kirill StolbovK. Stolbov,19,Central Midfield,CM,€100k,Zenit II,loan transfer,In,
