,club_name,player_name,Age,Position,Pos,Market value,club_involved_name,Fee,transfer_movement,fee_cleaned
0,Al-Ahli SFC,Edouard MendyE. Mendy,31,Goalkeeper,GK,€12.00m,Chelsea,€18.50m,In,€18.50m
1,Al-Ahli SFC,Fahad Al-RashidiF. Al-Rashidi,26,Right Winger,RW,€400k,Al-Taawoun,free transfer,In,
2,Al-Ahli SFC,Sumaihan Al-NabitS. Al-Nabit,27,Left Winger,LW,€1.20m,Al-Taawoun,free transfer,In,
3,Al-Ahli SFC,Abdullah OtayfA. Otayf,30,Defensive Midfield,DM,€300k,Al-Hilal,free transfer,In,
4,Al-Ahli SFC,Roberto FirminoRoberto Firmino,31,Centre-Forward,CF,€18.00m,Liverpool,free transfer,In,
5,Al-Ahli SFC,Alassane NdaoA. Ndao,26,Right Winger,RW,€2.20m,Antalyaspor,"End of loan Jun 30, 2023",In,
6,Al-Ahli SFC,Ezgjan AlioskiE. Alioski,31,Left-Back,LB,€4.00m,Fenerbahce,"End of loan Jun 30, 2023",In,
7,Al-Ahli SFC,Omar Al-SomahO. Al-Somah,34,Centre-Forward,CF,€1.30m,Al-Arabi SC,"End of loan Jun 30, 2023",In,
0,Al-Ahli SFC,Talal Al-AbsiT. Al-Absi,30,Centre-Back,CB,€225k,Al-Hazem,free transfer,Out,
1,Al-Ahli SFC,Naif KireiriN. Kireiri,25,Right-Back,RB,€150k,Al-Wehda,"End of loan Jun 30, 2023",Out,
2,Al-Ahli SFC,Salman Al-MuwasharS. Al-Muwashar,34,Left Winger,LW,€25k,Without Club,-,Out,
3,Al-Ahli SFC,Nicolás MilesiN. Milesi,30,Central Midfield,CM,€450k,Without Club,-,Out,
4,Al-Ahli SFC,Thamer Al-AliThamer Al-Ali,24,Left Winger,LW,€150k,Al-Wehda,"End of loan Jun 30, 2023",Out,
5,Al-Ahli SFC,Mansour Al-ShammariM. Al-Shammari,22,Left-Back,LB,€50k,Al-Nassr,"End of loan Jun 30, 2023",Out,
0,Al-Hazem SC,Talal Al-AbsiT. Al-Absi,30,Centre-Back,CB,€225k,Al-Ahli,free transfer,In,
1,Al-Hazem SC,Aymen DahmenA. Dahmen,26,Goalkeeper,GK,€1.00m,CS Sfaxien,free transfer,In,
2,Al-Hazem SC,Mohamed Al-ThaniM. Al-Thani,26,Right Winger,RW,€50k,Ohod Al-Medina,free transfer,In,
3,Al-Hazem SC,Nawaf Al-HabashiN. Al-Habashi,25,Attacking Midfield,AM,€200k,Al-Riyadh SC,?,In,
4,Al-Hazem SC,Sultan TankerS. Tanker,24,Centre-Back,CB,-,Jeddah FC,?,In,
5,Al-Hazem SC,Majed Al-GhamdiM. Al-Ghamdi,25,Goalkeeper,GK,-,Ohod Al-Medina,?,In,
6,Al-Hazem SC,Naoufel ZerhouniN. Zerhouni,27,Right Winger,RW,€275k,Raja Casablanca,"End of loan Jun 30, 2023",In,
0,Al-Hazem SC,Abdulrahman Al-DhaferiA. Al-Dhaferi,25,Defensive Midfield,DM,-,Al-Arabi SC,free transfer,Out,
1,Al-Hazem SC,Ola JohnOla John,31,Left Winger,LW,€400k,Al-Arabi SC,free transfer,Out,
2,Al-Hazem SC,Khaled Al-BarakahK. Al-Barakah,32,Left-Back,LB,€100k,Al-Najma SC,?,Out,
3,Al-Hazem SC,Suleiman Al-SaeedS. Al-Saeed,26,Centre-Forward,CF,€125k,Al-Jabalain,?,Out,
4,Al-Hazem SC,Sultan FaqihiS. Faqihi,28,Right-Back,RB,€150k,Damac FC,?,Out,
5,Al-Hazem SC,Abdulhadi Al-HarajinA. Al-Harajin,28,Attacking Midfield,AM,€225k,Al-Riyadh SC,?,Out,
6,Al-Hazem SC,Naoufel ZerhouniN. Zerhouni,27,Right Winger,RW,€275k,Without Club,-,Out,
7,Al-Hazem SC,Youssef ObamaYoussef Obama,28,Attacking Midfield,AM,€700k,Zamalek,"End of loan Jun 30, 2023",Out,
8,Al-Hazem SC,Ben TraoréB. Traoré,23,Defensive Midfield,DM,€500k,Leixões,"End of loan Jun 30, 2023",Out,
9,Al-Hazem SC,Francis CannF. Cann,25,Left Winger,LW,€400k,Vizela,"End of loan Jun 30, 2023",Out,
0,Al-Okhdood Club,Paulo VítorPaulo Vítor,34,Goalkeeper,GK,€200k,Chaves,free transfer,In,
1,Al-Okhdood Club,Awadh FarajA. Faraj,34,Central Midfield,CM,€100k,Al-Raed,free transfer,In,
2,Al-Okhdood Club,Hussein Shae'anH. Shae'an,34,Goalkeeper,GK,€75k,Al-Shabab,free transfer,In,
3,Al-Okhdood Club,Juan Sebastián PedrozaJ. Pedroza,24,Defensive Midfield,DM,€600k,Indep. Santa Fe,?,In,
4,Al-Okhdood Club,Hamad Al-MansourH. Al-Mansour,30,Right-Back,RB,€50k,Al-Nassr,loan transfer,In,
0,Al-Okhdood Club,Ahmed Al-MuwalladA. Al-Muwallad,31,Centre-Back,CB,-,Al-Arabi SC,free transfer,Out,
1,Al-Okhdood Club,Kaká MendesKaká Mendes,30,Attacking Midfield,AM,-,Al-Safa,free transfer,Out,
2,Al-Okhdood Club,Borhane HakimiB. Hakimi,28,Right Winger,RW,€300k,Al-Safa,free transfer,Out,
3,Al-Okhdood Club,Maicon DouglasMaicon Douglas,30,Defensive Midfield,DM,-,Al-Safa,free transfer,Out,
4,Al-Okhdood Club,Mohammed RemanM. Reman,26,Left-Back,LB,€25k,Al-Najma SC,free transfer,Out,
5,Al-Okhdood Club,Vladimir StojkovićV. Stojković,26,Goalkeeper,GK,€200k,Al-Faisaly FC,free transfer,Out,
6,Al-Okhdood Club,PatoPato,31,Centre-Forward,CF,€200k,Al-Najma SC,?,Out,
7,Al-Okhdood Club,ReinaldoReinaldo,34,Centre-Back,CB,-,Al-Safa,?,Out,
8,Al-Okhdood Club,Aseel AbedA. Abed,23,Centre-Back,CB,-,Ittihad Club,"End of loan Jun 30, 2023",Out,
9,Al-Okhdood Club,Mubarak Al-SagoorM. Al-Sagoor,29,Right Winger,RW,-,Al-Wehda,"End of loan Jun 30, 2023",Out,
10,Al-Okhdood Club,Sultan HawsawiS. Hawsawi,22,Centre-Forward,CF,-,Al-Wehda,"End of loan Jun 30, 2023",Out,
0,Al-Riyadh SC,Martín CampañaM. Campaña,34,Goalkeeper,GK,€450k,Al-Batin,free transfer,In,
1,Al-Riyadh SC,Hussain Al-NuweqiH. Al-Nuweqi,27,Right-Back,RB,€150k,Khaleej,?,In,
2,Al-Riyadh SC,Abdulhadi Al-HarajinA. Al-Harajin,28,Attacking Midfield,AM,€225k,Al-Hazem,?,In,
3,Al-Riyadh SC,Knowledge MusonaK. Musona,33,Attacking Midfield,AM,€700k,Al-Tai,?,In,
0,Al-Riyadh SC,MuralhaMuralha,30,Central Midfield,CM,€550k,Al-Arabi SC,free transfer,Out,
1,Al-Riyadh SC,Diego MirandaD. Miranda,31,Left Winger,LW,€200k,Al-Arabi SC,free transfer,Out,
2,Al-Riyadh SC,Masoud BakheetM. Bakheet,31,Right-Back,RB,-,Al-Jabalain,free transfer,Out,
3,Al-Riyadh SC,Emanuel NovoE. Novo,30,Goalkeeper,GK,€200k,Al-Taraji,free transfer,Out,
4,Al-Riyadh SC,MarcinhoMarcinho,28,Right Winger,RW,-,Chapecoense,free transfer,Out,
5,Al-Riyadh SC,Miodrag GemovicM. Gemovic,28,Right Winger,RW,€500k,Al-Jabalain,?,Out,
6,Al-Riyadh SC,Nawaf Al-HabashiN. Al-Habashi,25,Attacking Midfield,AM,€200k,Al-Hazem,?,Out,
0,Ittihad Club,JotaJota,24,Left Winger,LW,€13.00m,Celtic,€29.10m,In,€29.10m
1,Ittihad Club,Karim BenzemaK. Benzema,35,Centre-Forward,CF,€25.00m,Real Madrid,free transfer,In,
2,Ittihad Club,N'Golo KantéN. Kanté,32,Defensive Midfield,DM,€15.00m,Chelsea,free transfer,In,
3,Ittihad Club,Mohammed Abu AsedaM. Abu Aseda,23,Goalkeeper,GK,-,Wej SC,"End of loan Jun 30, 2023",In,
4,Ittihad Club,Aseel AbedA. Abed,23,Centre-Back,CB,-,Al-Okhdood,"End of loan Jun 30, 2023",In,
5,Ittihad Club,Mohammed Al-OufiM. Al-Oufi,20,Left-Back,LB,€125k,Al-Adalah,"End of loan Jun 30, 2023",In,
6,Ittihad Club,Khaled Al-SumairiK. Al-Sumairi,26,Defensive Midfield,DM,€125k,Khaleej,"End of loan Jun 30, 2023",In,
7,Ittihad Club,Hazim Al-ZahraniH. Al-Zahrani,24,Left-Back,LB,€25k,Ohod Al-Medina,"End of loan Jun 30, 2023",In,
8,Ittihad Club,Saleh Al-OhaymidS. Al-Ohaymid,25,Goalkeeper,GK,-,Al-Kholood,"End of loan Jun 30, 2023",In,
9,Ittihad Club,Mohammed SawaanM. Sawaan,22,Attacking Midfield,AM,-,Al-Kholood,"End of loan Jun 30, 2023",In,
10,Ittihad Club,Ziyad Al-SahafiZ. Al-Sahafi,28,Centre-Back,CB,€750k,Al-Taawoun,"End of loan Jun 30, 2023",In,
11,Ittihad Club,Ahmed Saleh BahusaynA. Bahusayn,22,Central Midfield,CM,€25k,Hajer,"End of loan Jun 30, 2023",In,
0,Ittihad Club,Mohammed SawaanM. Sawaan,22,Attacking Midfield,AM,-,Al-Kholood,free transfer,Out,
1,Ittihad Club,Ahmed Saleh BahusaynA. Bahusayn,22,Central Midfield,CM,€25k,Al-Taawoun,?,Out,
2,Ittihad Club,Bruno HenriqueBruno Henrique,33,Central Midfield,CM,€700k,Without Club,-,Out,
3,Ittihad Club,Hélder CostaH. Costa,29,Right Winger,RW,€3.20m,Leeds,"End of loan Jun 30, 2023",Out,
0,Al-Nassr FC,Marcelo BrozovicM. Brozovic,30,Defensive Midfield,DM,€25.00m,Inter,€18.00m,In,€18.00m
1,Al-Nassr FC,Jin-su KimJ. Kim,31,Left-Back,LB,€600k,Jeonbuk Hyundai,"End of loan Jun 30, 2023",In,
2,Al-Nassr FC,Abdulfattah AdamA. Adam,28,Centre-Forward,CF,€250k,Abha,"End of loan Jun 30, 2023",In,
3,Al-Nassr FC,Mukhtar AliM. Ali,25,Defensive Midfield,DM,€325k,Al-Tai,"End of loan Jun 30, 2023",In,
4,Al-Nassr FC,Mansour Al-ShammariM. Al-Shammari,22,Left-Back,LB,€50k,Al-Ahli,"End of loan Jun 30, 2023",In,
5,Al-Nassr FC,Khalid Al-GhannamK. Al-Ghannam,22,Left Winger,LW,€600k,Al-Fateh,"End of loan Jun 30, 2023",In,
