,club_name,player_name,Age,Position,Pos,Market value,club_involved_name,Fee,transfer_movement,fee_cleaned
0,SSC Napoli,Giacomo RaspadoriG. Raspadori,23,Second Striker,SS,€35.00m,Sassuolo,€26.00m,In,€26.00m
1,SSC Napoli,Giovanni SimeoneG. Simeone,27,Centre-Forward,CF,€15.00m,Hellas Verona,€12.00m,In,€12.00m
0,SSC Napoli,Andrea PetagnaA. Petagna,28,Centre-Forward,CF,€10.00m,Monza,€10.00m,Out,€10.00m
1,SSC Napoli,Sebastiano LupertoS. Luperto,26,Centre-Back,CB,€3.00m,FC Empoli,€2.50m,Out,€2.50m
2,SSC Napoli,Davide MarfellaD. Marfella,23,Goalkeeper,GK,€50k,Without Club,-,Out,
3,SSC Napoli,Karim ZedadkaK. Zedadka,23,Left Midfield,LM,€200k,Without Club,-,Out,
4,SSC Napoli,Antonio VergaraA. Vergara,20,Attacking Midfield,AM,€175k,Reggiana,loan transfer,Out,
5,SSC Napoli,Pierluigi GolliniP. Gollini,28,Goalkeeper,GK,€4.50m,Atalanta BC,"End of loan Jun 30, 2023",Out,
6,SSC Napoli,Bartosz BereszynskiB. Bereszynski,30,Right-Back,RB,€1.60m,Sampdoria,"End of loan Jun 30, 2023",Out,
7,SSC Napoli,Giacomo RaspadoriG. Raspadori,23,Second Striker,SS,€35.00m,Sassuolo,"End of loan Jun 30, 2023",Out,
8,SSC Napoli,Tanguy NdombéléT. Ndombélé,26,Central Midfield,CM,€22.00m,Tottenham,"End of loan Jun 30, 2023",Out,
9,SSC Napoli,Giovanni SimeoneG. Simeone,27,Centre-Forward,CF,€15.00m,Hellas Verona,"End of loan Jun 30, 2023",Out,
0,SS Lazio,Matteo CancellieriM. Cancellieri,21,Right Winger,RW,€5.00m,Hellas Verona,€7.96m,In,€7.96m
1,SS Lazio,Diego GonzálezD. González,20,Left Winger,LW,€750k,Celaya,€1.00m,In,€1.00m
0,SS Lazio,Francesco AcerbiF. Acerbi,35,Centre-Back,CB,€4.00m,Inter,€3.50m,Out,€3.50m
1,SS Lazio,Gonzalo EscalanteG. Escalante,30,Central Midfield,CM,€2.00m,Cádiz CF,€2.50m,Out,€2.50m
2,SS Lazio,Luka RomeroL. Romero,18,Right Winger,RW,€3.00m,AC Milan,free transfer,Out,
3,SS Lazio,Emanuele CicerelliE. Cicerelli,28,Left Winger,LW,€400k,Reggina,?,Out,
4,SS Lazio,Riza DurmisiR. Durmisi,29,Left-Back,LB,€300k,Without Club,-,Out,
5,SS Lazio,Stefan RaduS. Radu,36,Left-Back,LB,-,Retired,-,Out,
6,SS Lazio,PedroPedro,35,Right Winger,RW,€1.50m,Without Club,-,Out,
7,SS Lazio,Luca PellegriniL. Pellegrini,24,Left-Back,LB,€7.00m,Juventus,"End of loan Jun 30, 2023",Out,
8,SS Lazio,Matteo CancellieriM. Cancellieri,21,Right Winger,RW,€5.00m,Hellas Verona,"End of loan Jun 30, 2023",Out,
0,Inter Milan,Kristjan AsllaniK. Asllani,21,Defensive Midfield,DM,€12.00m,FC Empoli,€10.00m,In,€10.00m
1,Inter Milan,Davide FrattesiD. Frattesi,23,Central Midfield,CM,€25.00m,Sassuolo,Loan fee: €6.00m,In, €6.00m
2,Inter Milan,Francesco AcerbiF. Acerbi,35,Centre-Back,CB,€4.00m,Lazio,€3.50m,In,€3.50m
3,Inter Milan,Marcus ThuramM. Thuram,25,Centre-Forward,CF,€32.00m,Bor. M'gladbach,free transfer,In,
0,Inter Milan,Andrea PinamontiA. Pinamonti,24,Centre-Forward,CF,€15.00m,Sassuolo,€20.00m,Out,€20.00m
1,Inter Milan,Marcelo BrozovicM. Brozovic,30,Defensive Midfield,DM,€25.00m,Al-Nassr,€18.00m,Out,€18.00m
2,Inter Milan,Samuele MulattieriS. Mulattieri,22,Centre-Forward,CF,€4.50m,Sassuolo,€6.00m,Out,€6.00m
